id_ranking,name,star,description,user_id,obra_id
1001,CONSERVATORI,6,Trobar noves obres.,11,177
1001,CONSERVATORI,10,Trobar noves obres.,11,178
1001,CONSERVATORI,8,Trobar noves obres.,11,179
1001,CONSERVATORI,10,Trobar noves obres.,11,180
1001,CONSERVATORI,8,Trobar noves obres.,11,181
1001,CONSERVATORI,10,Trobar noves obres.,11,182
1001,CONSERVATORI,10,Trobar noves obres.,11,183
1001,CONSERVATORI,10,Trobar noves obres.,11,184
1001,CONSERVATORI,10,Trobar noves obres.,11,185
1001,CONSERVATORI,8,Trobar noves obres.,11,186
1001,CONSERVATORI,10,Trobar noves obres.,11,187
1001,CONSERVATORI,10,Trobar noves obres.,11,188
1001,CONSERVATORI,10,Trobar noves obres.,11,189
1001,CONSERVATORI,10,Trobar noves obres.,11,190
1001,CONSERVATORI,10,Trobar noves obres.,11,191
1001,CONSERVATORI,10,Trobar noves obres.,11,192
1001,CONSERVATORI,10,Trobar noves obres.,11,193
1001,CONSERVATORI,6,Trobar noves obres.,11,194
1001,CONSERVATORI,6,Trobar noves obres.,11,195
1001,CONSERVATORI,10,Trobar noves obres.,11,196
1001,CONSERVATORI,10,Trobar noves obres.,11,197
1001,CONSERVATORI,6,Trobar noves obres.,11,198
1001,CONSERVATORI,6,Trobar noves obres.,11,199
1001,CONSERVATORI,8,Trobar noves obres.,11,200
1001,CONSERVATORI,6,Trobar noves obres.,11,201
1001,CONSERVATORI,6,Trobar noves obres.,11,202
1001,CONSERVATORI,6,Trobar noves obres.,11,203
1001,CONSERVATORI,10,Trobar noves obres.,11,204
1001,CONSERVATORI,6,Trobar noves obres.,11,205
1001,CONSERVATORI,6,Trobar noves obres.,11,206
1001,CONSERVATORI,6,Trobar noves obres.,11,207
1001,CONSERVATORI,6,Trobar noves obres.,11,208
1001,CONSERVATORI,8,Trobar noves obres.,11,209
1001,CONSERVATORI,8,Trobar noves obres.,11,210
1001,CONSERVATORI,8,Trobar noves obres.,11,211
1001,CONSERVATORI,6,Trobar noves obres.,11,212
1001,CONSERVATORI,6,Trobar noves obres.,11,213
1001,CONSERVATORI,10,Trobar noves obres.,11,214
1001,CONSERVATORI,8,Trobar noves obres.,11,215
1001,CONSERVATORI,6,Trobar noves obres.,11,216
1001,CONSERVATORI,6,Trobar noves obres.,11,217
1001,CONSERVATORI,8,Trobar noves obres.,11,218
1001,CONSERVATORI,8,Trobar noves obres.,11,219
1001,CONSERVATORI,8,Trobar noves obres.,11,220
1001,CONSERVATORI,8,Trobar noves obres.,11,221
1001,CONSERVATORI,8,Trobar noves obres.,11,222
1001,CONSERVATORI,6,Trobar noves obres.,11,223
1001,CONSERVATORI,10,Trobar noves obres.,11,224
1001,CONSERVATORI,10,Trobar noves obres.,11,225
1001,CONSERVATORI,8,Trobar noves obres.,11,226
1001,CONSERVATORI,8,Trobar noves obres.,11,227
1001,CONSERVATORI,10,Trobar noves obres.,11,228
1001,CONSERVATORI,6,Trobar noves obres.,11,229
1001,CONSERVATORI,10,Trobar noves obres.,11,230
1001,CONSERVATORI,6,Trobar noves obres.,11,231
1001,CONSERVATORI,6,Trobar noves obres.,11,232
1001,CONSERVATORI,6,Trobar noves obres.,11,233
1001,CONSERVATORI,6,Trobar noves obres.,11,234
1001,CONSERVATORI,8,Trobar noves obres.,11,235
1001,CONSERVATORI,6,Trobar noves obres.,11,236
1001,CONSERVATORI,6,Trobar noves obres.,11,237
1001,CONSERVATORI,8,Trobar noves obres.,11,238
1001,CONSERVATORI,8,Trobar noves obres.,11,239
1001,CONSERVATORI,10,Trobar noves obres.,11,240
1001,CONSERVATORI,6,Trobar noves obres.,11,241
1001,CONSERVATORI,8,Trobar noves obres.,11,242
1001,CONSERVATORI,6,Trobar noves obres.,11,243
1001,CONSERVATORI,6,Trobar noves obres.,11,244
1001,CONSERVATORI,6,Trobar noves obres.,11,245
1001,CONSERVATORI,8,Trobar noves obres.,11,246
1001,CONSERVATORI,8,Trobar noves obres.,11,247
1001,CONSERVATORI,8,Trobar noves obres.,11,248
1001,CONSERVATORI,6,Trobar noves obres.,11,249
1001,CONSERVATORI,1,Trobar noves obres.,11,250
1001,CONSERVATORI,6,Trobar noves obres.,11,251
1001,CONSERVATORI,1,Trobar noves obres.,11,252
1001,CONSERVATORI,1,Trobar noves obres.,11,257
1001,CONSERVATORI,1,Trobar noves obres.,11,258
1001,CONSERVATORI,3,Trobar noves obres.,11,259
1001,CONSERVATORI,10,Trobar noves obres.,11,260
1001,CONSERVATORI,10,Trobar noves obres.,11,261
1001,CONSERVATORI,1,Trobar noves obres.,11,262
1001,CONSERVATORI,1,Trobar noves obres.,11,263
1001,CONSERVATORI,1,Trobar noves obres.,11,265
1001,CONSERVATORI,6,Trobar noves obres.,11,266
1001,CONSERVATORI,6,Trobar noves obres.,11,268
1001,CONSERVATORI,1,Trobar noves obres.,11,269
1001,CONSERVATORI,7,Trobar noves obres.,11,270
1001,CONSERVATORI,7,Trobar noves obres.,11,271
1001,CONSERVATORI,6,Trobar noves obres.,11,273
1001,CONSERVATORI,6,Trobar noves obres.,11,274
1001,CONSERVATORI,6,Trobar noves obres.,11,275
1001,CONSERVATORI,6,Trobar noves obres.,11,276
1001,CONSERVATORI,10,Trobar noves obres.,11,281
1001,CONSERVATORI,1,Trobar noves obres.,11,285
1001,CONSERVATORI,2,Trobar noves obres.,11,286
1001,CONSERVATORI,6,Trobar noves obres.,11,287
1001,CONSERVATORI,6,Trobar noves obres.,11,288
1001,CONSERVATORI,2,Trobar noves obres.,11,289
1001,CONSERVATORI,6,Trobar noves obres.,11,290
1001,CONSERVATORI,2,Trobar noves obres.,11,291
1001,CONSERVATORI,6,Trobar noves obres.,11,292
1001,CONSERVATORI,6,Trobar noves obres.,11,293
1001,CONSERVATORI,3,Trobar noves obres.,11,294
1001,CONSERVATORI,2,Trobar noves obres.,11,295
1001,CONSERVATORI,6,Trobar noves obres.,11,296
1001,CONSERVATORI,6,Trobar noves obres.,11,297
1001,CONSERVATORI,6,Trobar noves obres.,11,298
1001,CONSERVATORI,6,Trobar noves obres.,11,299
1001,CONSERVATORI,2,Trobar noves obres.,11,300
1001,CONSERVATORI,6,Trobar noves obres.,11,301
1001,CONSERVATORI,6,Trobar noves obres.,11,302
1001,CONSERVATORI,1,Trobar noves obres.,11,304
1001,CONSERVATORI,1,Trobar noves obres.,11,306
1001,CONSERVATORI,1,Trobar noves obres.,11,307
1001,CONSERVATORI,6,Trobar noves obres.,11,322
1001,CONSERVATORI,6,Trobar noves obres.,11,326
1001,CONSERVATORI,6,Trobar noves obres.,11,329
1001,CONSERVATORI,6,Trobar noves obres.,11,344
1001,CONSERVATORI,6,Trobar noves obres.,11,346
1001,CONSERVATORI,8,Trobar noves obres.,11,357
1001,CONSERVATORI,6,Trobar noves obres.,11,358
1001,CONSERVATORI,1,Trobar noves obres.,11,359
1001,CONSERVATORI,6,Trobar noves obres.,11,360
1001,CONSERVATORI,6,Trobar noves obres.,11,361
1001,CONSERVATORI,6,Trobar noves obres.,11,362
1001,CONSERVATORI,6,Trobar noves obres.,11,363
1001,CONSERVATORI,6,Trobar noves obres.,11,364
1001,CONSERVATORI,2,Trobar noves obres.,11,365
1001,CONSERVATORI,6,Trobar noves obres.,11,366
1001,CONSERVATORI,6,Trobar noves obres.,11,367
1001,CONSERVATORI,6,Trobar noves obres.,11,368
1001,CONSERVATORI,6,Trobar noves obres.,11,369
1001,CONSERVATORI,6,Trobar noves obres.,11,370
1001,CONSERVATORI,8,Trobar noves obres.,11,371
1001,CONSERVATORI,8,Trobar noves obres.,11,372
1001,CONSERVATORI,6,Trobar noves obres.,11,373
1001,CONSERVATORI,8,Trobar noves obres.,11,374
1001,CONSERVATORI,7,Trobar noves obres.,11,375
1001,CONSERVATORI,10,Trobar noves obres.,11,376
1001,CONSERVATORI,8,Trobar noves obres.,11,377
1001,CONSERVATORI,6,Trobar noves obres.,11,378
1001,CONSERVATORI,1,Trobar noves obres.,11,379
1001,CONSERVATORI,6,Trobar noves obres.,11,380
1001,CONSERVATORI,6,Trobar noves obres.,11,381
1001,CONSERVATORI,6,Trobar noves obres.,11,382
1001,CONSERVATORI,6,Trobar noves obres.,11,383
1001,CONSERVATORI,6,Trobar noves obres.,11,384
1001,CONSERVATORI,8,Trobar noves obres.,11,385
1001,CONSERVATORI,6,Trobar noves obres.,11,386
1001,CONSERVATORI,8,Trobar noves obres.,11,387
1001,CONSERVATORI,6,Trobar noves obres.,11,388
1001,CONSERVATORI,8,Trobar noves obres.,11,389
1001,CONSERVATORI,6,Trobar noves obres.,11,390
1001,CONSERVATORI,6,Trobar noves obres.,11,391
1001,CONSERVATORI,6,Trobar noves obres.,11,392
1001,CONSERVATORI,6,Trobar noves obres.,11,393
1001,CONSERVATORI,6,Trobar noves obres.,11,394
1001,CONSERVATORI,6,Trobar noves obres.,11,395
1001,CONSERVATORI,10,Trobar noves obres.,11,396
1001,CONSERVATORI,10,Trobar noves obres.,11,397
1001,CONSERVATORI,10,Trobar noves obres.,11,398
1001,CONSERVATORI,6,Trobar noves obres.,11,399
1001,CONSERVATORI,10,Trobar noves obres.,11,400
1001,CONSERVATORI,6,Trobar noves obres.,11,401
1001,CONSERVATORI,8,Trobar noves obres.,11,402
1001,CONSERVATORI,6,Trobar noves obres.,11,403
1001,CONSERVATORI,6,Trobar noves obres.,11,404
1001,CONSERVATORI,6,Trobar noves obres.,11,405
1001,CONSERVATORI,6,Trobar noves obres.,11,406
1001,CONSERVATORI,10,Trobar noves obres.,11,407
1001,CONSERVATORI,10,Trobar noves obres.,11,408
1001,CONSERVATORI,8,Trobar noves obres.,11,409
1001,CONSERVATORI,6,Trobar noves obres.,11,410
1001,CONSERVATORI,6,Trobar noves obres.,11,411
1001,CONSERVATORI,6,Trobar noves obres.,11,412
1001,CONSERVATORI,8,Trobar noves obres.,11,413
1001,CONSERVATORI,8,Trobar noves obres.,11,414
1001,CONSERVATORI,8,Trobar noves obres.,11,415
1001,CONSERVATORI,10,Trobar noves obres.,11,416
1001,CONSERVATORI,6,Trobar noves obres.,11,417
1001,CONSERVATORI,6,Trobar noves obres.,11,418
1001,CONSERVATORI,8,Trobar noves obres.,11,419
1001,CONSERVATORI,10,Trobar noves obres.,11,420
1001,CONSERVATORI,6,Trobar noves obres.,11,421
1001,CONSERVATORI,10,Trobar noves obres.,11,422
1001,CONSERVATORI,10,Trobar noves obres.,11,423
1001,CONSERVATORI,10,Trobar noves obres.,11,424
1001,CONSERVATORI,8,Trobar noves obres.,11,425
1001,CONSERVATORI,10,Trobar noves obres.,11,426
1001,CONSERVATORI,8,Trobar noves obres.,11,427
1001,CONSERVATORI,8,Trobar noves obres.,11,428
1001,CONSERVATORI,8,Trobar noves obres.,11,429
1001,CONSERVATORI,10,Trobar noves obres.,11,430
1001,CONSERVATORI,10,Trobar noves obres.,11,431
1001,CONSERVATORI,10,Trobar noves obres.,11,432
1001,CONSERVATORI,6,Trobar noves obres.,11,433
1001,CONSERVATORI,10,Trobar noves obres.,11,434
1001,CONSERVATORI,10,Trobar noves obres.,11,435
1001,CONSERVATORI,10,Trobar noves obres.,11,436
1001,CONSERVATORI,10,Trobar noves obres.,11,437
1001,CONSERVATORI,8,Trobar noves obres.,11,438
1001,CONSERVATORI,8,Trobar noves obres.,11,439
1001,CONSERVATORI,6,Trobar noves obres.,11,440
1001,CONSERVATORI,8,Trobar noves obres.,11,441
1001,CONSERVATORI,10,Trobar noves obres.,11,442
1001,CONSERVATORI,1,Trobar noves obres.,11,443
1001,CONSERVATORI,8,Trobar noves obres.,11,444
1001,CONSERVATORI,8,Trobar noves obres.,11,445
1001,CONSERVATORI,6,Trobar noves obres.,11,446
1001,CONSERVATORI,10,Trobar noves obres.,11,447
1001,CONSERVATORI,10,Trobar noves obres.,11,448
1001,CONSERVATORI,10,Trobar noves obres.,11,449
1001,CONSERVATORI,10,Trobar noves obres.,11,450
1001,CONSERVATORI,6,Trobar noves obres.,11,451
1001,CONSERVATORI,6,Trobar noves obres.,11,452
1001,CONSERVATORI,8,Trobar noves obres.,11,453
1001,CONSERVATORI,10,Trobar noves obres.,11,454
1001,CONSERVATORI,6,Trobar noves obres.,11,455
1001,CONSERVATORI,6,Trobar noves obres.,11,456
1001,CONSERVATORI,6,Trobar noves obres.,11,457
1001,CONSERVATORI,6,Trobar noves obres.,11,458
1001,CONSERVATORI,8,Trobar noves obres.,11,459
1001,CONSERVATORI,6,Trobar noves obres.,11,460
1001,CONSERVATORI,8,Trobar noves obres.,11,461
1001,CONSERVATORI,8,Trobar noves obres.,11,462
1001,CONSERVATORI,6,Trobar noves obres.,11,463
1001,CONSERVATORI,8,Trobar noves obres.,11,464
1001,CONSERVATORI,10,Trobar noves obres.,11,465
1001,CONSERVATORI,6,Trobar noves obres.,11,466
1001,CONSERVATORI,6,Trobar noves obres.,11,467
1001,CONSERVATORI,6,Trobar noves obres.,11,468
1001,CONSERVATORI,1,Trobar noves obres.,11,469
1001,CONSERVATORI,6,Trobar noves obres.,11,470
1001,CONSERVATORI,6,Trobar noves obres.,11,471
1001,CONSERVATORI,6,Trobar noves obres.,11,472
1001,CONSERVATORI,6,Trobar noves obres.,11,473
1001,CONSERVATORI,8,Trobar noves obres.,11,474
1001,CONSERVATORI,10,Trobar noves obres.,11,475
1001,CONSERVATORI,6,Trobar noves obres.,11,476
1001,CONSERVATORI,10,Trobar noves obres.,11,477
1001,CONSERVATORI,10,Trobar noves obres.,11,478
1001,CONSERVATORI,10,Trobar noves obres.,11,479
1001,CONSERVATORI,1,Trobar noves obres.,11,480
1001,CONSERVATORI,8,Trobar noves obres.,11,482
1001,CONSERVATORI,6,Trobar noves obres.,11,483
1001,CONSERVATORI,10,Trobar noves obres.,11,484
1001,CONSERVATORI,10,Trobar noves obres.,11,485
1001,CONSERVATORI,10,Trobar noves obres.,11,486
1001,CONSERVATORI,10,Trobar noves obres.,11,487
1001,CONSERVATORI,10,Trobar noves obres.,11,488
1001,CONSERVATORI,10,Trobar noves obres.,11,489
1001,CONSERVATORI,6,Trobar noves obres.,11,490
1001,CONSERVATORI,10,Trobar noves obres.,11,491
1001,CONSERVATORI,6,Trobar noves obres.,11,492
1001,CONSERVATORI,6,Trobar noves obres.,11,493
1001,CONSERVATORI,6,Trobar noves obres.,11,494
1001,CONSERVATORI,6,Trobar noves obres.,11,495
1001,CONSERVATORI,6,Trobar noves obres.,11,496
1001,CONSERVATORI,10,Trobar noves obres.,11,497
1001,CONSERVATORI,10,Trobar noves obres.,11,498
1001,CONSERVATORI,1,Trobar noves obres.,11,499
1001,CONSERVATORI,1,Trobar noves obres.,11,500
1001,CONSERVATORI,8,Trobar noves obres.,11,501
1001,CONSERVATORI,6,Trobar noves obres.,11,502
1001,CONSERVATORI,6,Trobar noves obres.,11,503
1001,CONSERVATORI,6,Trobar noves obres.,11,504
1001,CONSERVATORI,6,Trobar noves obres.,11,505
1001,CONSERVATORI,6,Trobar noves obres.,11,506
1001,CONSERVATORI,6,Trobar noves obres.,11,507
1001,CONSERVATORI,6,Trobar noves obres.,11,508
1001,CONSERVATORI,6,Trobar noves obres.,11,509
1001,CONSERVATORI,6,Trobar noves obres.,11,510
1001,CONSERVATORI,6,Trobar noves obres.,11,511
1001,CONSERVATORI,8,Trobar noves obres.,11,512
1001,CONSERVATORI,10,Trobar noves obres.,11,513
1001,CONSERVATORI,8,Trobar noves obres.,11,514
1001,CONSERVATORI,4,Trobar noves obres.,11,515
1001,CONSERVATORI,8,Trobar noves obres.,11,516
1001,CONSERVATORI,4,Trobar noves obres.,11,517
1001,CONSERVATORI,6,Trobar noves obres.,11,518
1001,CONSERVATORI,6,Trobar noves obres.,11,519
1001,CONSERVATORI,10,Trobar noves obres.,11,520
1001,CONSERVATORI,10,Trobar noves obres.,11,521
1001,CONSERVATORI,10,Trobar noves obres.,11,522
1001,CONSERVATORI,10,Trobar noves obres.,11,523
1001,CONSERVATORI,8,Trobar noves obres.,11,524
1001,CONSERVATORI,10,Trobar noves obres.,11,525
1001,CONSERVATORI,10,Trobar noves obres.,11,526
1001,CONSERVATORI,1,Trobar noves obres.,11,527
1001,CONSERVATORI,8,Trobar noves obres.,11,528
1001,CONSERVATORI,6,Trobar noves obres.,11,529
1001,CONSERVATORI,10,Trobar noves obres.,11,530
1001,CONSERVATORI,10,Trobar noves obres.,11,531
1001,CONSERVATORI,10,Trobar noves obres.,11,532
1001,CONSERVATORI,10,Trobar noves obres.,11,533
1001,CONSERVATORI,8,Trobar noves obres.,11,534
1001,CONSERVATORI,10,Trobar noves obres.,11,535
1001,CONSERVATORI,10,Trobar noves obres.,11,536
1001,CONSERVATORI,6,Trobar noves obres.,11,537
1001,CONSERVATORI,6,Trobar noves obres.,11,538
1001,CONSERVATORI,6,Trobar noves obres.,11,539
1001,CONSERVATORI,6,Trobar noves obres.,11,540
1001,CONSERVATORI,6,Trobar noves obres.,11,541
1001,CONSERVATORI,10,Trobar noves obres.,11,542
1001,CONSERVATORI,6,Trobar noves obres.,11,543
1001,CONSERVATORI,1,Trobar noves obres.,11,544
1001,CONSERVATORI,10,Trobar noves obres.,11,545
1001,CONSERVATORI,6,Trobar noves obres.,11,546
1001,CONSERVATORI,8,Trobar noves obres.,11,547
1001,CONSERVATORI,1,Trobar noves obres.,11,548
1001,CONSERVATORI,6,Trobar noves obres.,11,549
1001,CONSERVATORI,8,Trobar noves obres.,11,550
1001,CONSERVATORI,6,Trobar noves obres.,11,551
1001,CONSERVATORI,6,Trobar noves obres.,11,552
1001,CONSERVATORI,1,Trobar noves obres.,11,553
1001,CONSERVATORI,10,Trobar noves obres.,11,554
1001,CONSERVATORI,1,Trobar noves obres.,11,555
1001,CONSERVATORI,1,Trobar noves obres.,11,556
1001,CONSERVATORI,8,Trobar noves obres.,11,557
1001,CONSERVATORI,6,Trobar noves obres.,11,558
1001,CONSERVATORI,6,Trobar noves obres.,11,559
1001,CONSERVATORI,1,Trobar noves obres.,11,560
1001,CONSERVATORI,10,Trobar noves obres.,11,561
1001,CONSERVATORI,1,Trobar noves obres.,11,562
1001,CONSERVATORI,6,Trobar noves obres.,11,563
1001,CONSERVATORI,10,Trobar noves obres.,11,564
1001,CONSERVATORI,2,Trobar noves obres.,11,565
