name,lz_complexity,pitch_entropy,duration
Dpu8gpDiAxg,196,4.7347335383985465,142.5
VvLkSGWNGRQ,1170,6.3775073307555905,333.31901041666663
T5qTj9ZLFHU,108,4.035958518052438,92.5
tXq6cytuZyY,555,5.586609315655048,275.88932291666663
HveZII_3uvk,565,5.621940152749135,178.84895833333331
pRaYjR4vX3Q,343,5.017952373045432,137.63932291666666
bO-ilDAaFPI,1416,6.542945182117899,373.79947916666663
ofLqtG6xNCI,5131,7.431890350788647,1352.7994791666665
nTj8S6tlzdQ,673,5.940526051176666,252.5
WNyAlYEEeiM,710,5.857747067109244,221.13932291666666
55-EAMJHfdc,517,5.435288039628624,192.45963541666666
sJki9RRgdCY,111,4.3809445810305006,68.95182291666666
WjgplHonQ58,148,4.702482507678938,78.9296875
C_N6MnnDsbY,769,5.647430156466052,594.6393229166666
yDs48DDHuX0,350,5.333160589007402,95.25260416666666
b34nNxbBBBY,77,3.9682414581534116,21.96875
VvnAQo93qac,1674,6.307391759789141,723.3294270833333
9rtpH05hT3U,298,5.105491153217951,129.57942708333331
jwVdHzw1bW0,1010,6.020715809840732,429.36979166666663
XYFpfFsbshk,1293,6.249161336099968,266.9296875
jAx190WwZJ0,119,3.6327716376144963,106.91927083333333
Srz78h5P05g,499,5.472248882469923,174.31901041666666
VFHcAvYBU64,292,4.924814100680274,126.64973958333333
hby7Q0KFA2Q,1043,5.671665235465099,267.45963541666663
IXEMB8-uRNA,410,5.098715438430583,160.93880208333331
AYWz64r1UvI,1144,6.124870283655808,352.70703125
knVvw3b3Prw,617,5.7955880414658845,352.5
4rlKsGIg19U,166,4.908222438631652,68.56901041666666
q40H_yqAmGY,958,6.0571211865796535,314.65885416666663
YKTYebWT2Lk,222,4.898983290816297,112.5
mSKxl5aOAOs,1123,6.2727699140293005,169.98958333333331
D_xlYbtxf9w,4801,6.929585947964385,2265.5690104166665
rcgXvOSaRJY,817,6.1199828588288465,197.12890625
ZoAwAZ0LARM,463,5.699073375928722,156.87890625
PMaFZTHOzgg,2175,6.556409266041762,781.9088541666666
riu8xmaoARk,439,5.594307200693488,264.2708333333333
5jbkcSavKH8,746,5.363565527519974,366.0794270833333
MhrAEDmUEHU,561,5.543065330947167,174.77994791666666
qvPIpsgCvt8,769,5.207493325275511,283.90494791666663
z-gDIONmdns,421,3.8023752383032896,329.53125
r4KpuSTNBe8,106,3.807134067637849,56.569010416666664
8bxOV8fX1vo,316,5.186708998615309,138.33984375
DByK5S4zI48,457,5.504881388825131,162.5
8PaLAtKCrew,809,5.5149805312589,278.12890625
zrSkizvzPgI,713,5.99187534340504,324.0091145833333
GjIbEDgl5ig,1524,6.0897676953230055,617.5
G15T_kCe_Uc,529,5.631943914131078,155.62760416666666
_PuPCnlLzxk,140,3.2556333293017614,482.9388020833333
K6N0a3wFoTs,569,5.924740499940559,288.26822916666663
2dXANMAbJ_4,668,5.61368918406685,221.40625
gB9zcM9UKeg,3126,6.892359272892458,1237.7552083333333
